Data,Tipo,Categoria,Subcategoria,Produto,Unidade,Quantidade,Preço de Custo,Preço de Venda,Tipo Avaria
2023-04-06,Ajuste,Limpeza,Detergentes,Detergente,litros,48,3.2,4.8,
2023-04-09,Ajuste,Limpeza,Utensílios de Limpeza,Vassoura,unidades,81,12.0,18.0,
2023-04-26,Ajuste,Carnes,Aves,Codorna Inteira,kg,5,39.99,54.99,
2023-04-14,Avaria,Moda e Vestuário,Feminino,Vestido Rodado,unidades,34,36.99,54.99,Furto
2023-04-15,Ajuste,Hortifruti,Frutas,Caqui,kg,4,8.99,10.99,
2023-04-10,Avaria,Hortifruti,Frutas,Maracujá,kg,33,2.99,3.99,Danos no transporte
2023-04-26,Ajuste,Hortifruti,Legumes,Tomate,kg,88,3.49,4.54,
2023-04-14,Avaria,Tecnologia,Caixas de Som,Smart Speaker,unidades,49,79.99,99.99,Validade expirada
2023-04-13,Ajuste,Tecnologia,Relógios Inteligentes,Smartwatch,unidades,32,119.99,149.99,
2023-04-08,Ajuste,Moda e Vestuário,Feminino,Regata Básica,unidades,60,9.99,14.99,
2023-04-23,Ajuste,Limpeza,Sabão em Pó,Sabão em Pó,kg,45,8.5,12.75,
2023-04-04,Avaria,Carnes,Bovinos,Acém,kg,7,29.9,43.35,Validade expirada
2023-04-02,Avaria,Lazer,Piscinas,Piscina Inflável,unidades,45,79.99,99.99,Furto
2023-04-14,Avaria,Carnes,Suínos,Costela Suína,kg,82,18.9,27.4,Danos no transporte
2023-04-20,Avaria,Moda e Vestuário,Masculino,Calça Jogger,unidades,42,26.99,39.99,Danos no transporte
2023-04-12,Ajuste,Bebidas,Não Alcoólicas,Suco de Laranja,litros,42,6.2,8.06,
2023-04-10,Ajuste,Esportes,Tacos,Taco de Baseball,unidades,4,19.99,29.99,
2023-04-11,Avaria,Hortifruti,Frutas,Melancia,unidades,8,6.0,7.8,Danos no transporte
2023-04-11,Avaria,Moda e Vestuário,Masculino,Camiseta Estampada,unidades,83,16.99,24.99,Furto
2023-04-29,Ajuste,Hortifruti,Frutas,Cereja Americana,kg,13,49.99,54.99,
2023-04-07,Avaria,Carnes,Ovinos,Linguiça de Cordeiro,kg,63,19.99,29.99,Danos no transporte
2023-04-08,Ajuste,Hortifruti,Frutas,Uva Verde,kg,49,7.49,9.99,
2023-04-26,Ajuste,Carnes,Aves,Codorna Inteira,kg,9,39.99,54.99,
2023-04-21,Ajuste,Moda e Vestuário,Feminino,Vestido Blusê,unidades,5,32.99,49.99,
2023-04-14,Avaria,Limpeza,Utensílios de Limpeza,Vassoura,unidades,62,12.0,18.0,Validade expirada
2023-04-04,Ajuste,Carnes,Ovinos,Linguiça de Cordeiro,kg,48,19.99,29.99,
2023-04-14,Avaria,Carnes,Aves,Sobrecoxa de Frango,kg,71,12.8,18.56,Furto
2023-04-28,Ajuste,Higiene,Sabonetes,Sabonete,unidades,50,2.3,3.22,
2023-04-03,Avaria,Hortifruti,Frutas,Abacaxi,unidades,47,4.5,5.85,Validade expirada
2023-04-29,Avaria,Carnes,Bovina,Fígado de Boi,kg,27,14.99,19.99,Danos no transporte
2023-04-11,Avaria,Eletrodomésticos,Liquidificadores,Liquidificador,unidades,91,59.99,79.99,Validade expirada
2023-04-06,Ajuste,Carnes,Bovina,Cupim,kg,48,39.99,54.99,
2023-04-17,Avaria,Esportes,Pranchas,Prancha de Surf,unidades,6,249.99,299.99,Furto
2023-04-14,Ajuste,Moda e Vestuário,Feminino,Blusa de Tricô,unidades,76,22.99,34.99,
2023-04-15,Ajuste,Moda e Vestuário,Feminino,Vestido Longo,unidades,100,54.99,79.99,
